"","genes","module","cox21.pvalue","cox21.estimate","cox36.pvalue","cox36.estimate","connect21.kwithin","connect36.kwithin"
"5038","DCTPP1","turquoise",0.464447723417719,-0.0316820692486307,0.0916538042693775,-0.128899890217105,12.1100376549576,0.167093767621396
"5039","DCUN1D1","brown",0.537568396166789,0.0371828922187322,0.650566959792252,-0.0420708251261597,0.907773268244775,0.0193233782411136
"5040","DCUN1D2","turquoise",0.39958252745733,-0.0303973024783203,0.58040805833616,0.0353295998152081,12.9841159684811,1.82448135725794
"5041","TMCO3","turquoise",0.39958252745733,-0.0303973024783203,0.58040805833616,0.0353295998152081,12.9841159684811,1.82448135725794
"5042","DCUN1D3","brown",0.901651440245495,-0.00555506960569742,0.868104171567182,0.011924635208398,2.69798817345539,1.11450784361376
"5043","LYRM1","brown",0.859664109760423,0.0103377661771259,0.671251677120829,0.0379902517195701,6.55079052465952,5.06609447207806
"5044","DCUN1D4","turquoise",0.778464929079889,-0.0180725217335455,0.0478826910683646,-0.213754746646453,39.9774896423182,1.47023878709718
"5045","DCUN1D5","turquoise",0.275237228866049,-0.0992889787401376,0.285696825244836,-0.178492990603585,29.8268667887907,0.374955515292557
"5046","DCX","red",0.339239686014486,0.0344696466587093,0.64957966228087,0.0230899396826013,0.0226698800059261,0.00177127258794585
"5047","DCXR","turquoise",0.120218145961034,-0.153057853522582,0.60394892969108,-0.0918872651867179,132.679484560256,22.2905405968842
"5048","DDA1","grey",0.86841826754631,0.0128153442340377,0.474267739091714,0.0758994692914529,0.025892661503041,0.0192056037716552
"5049","DDB2","blue",0.92241239440402,0.00739988070212394,0.107477380935142,-0.188359222188267,0.325156839151845,1.89916676723995
"5050","DDC","turquoise",0.78895276757121,-0.017609868936164,0.0104977727875388,-0.276926613132998,3.17432199564031,0.178675922424066
"5051","DDHD1","turquoise",0.875509640146071,-0.00569747201657808,0.79787470346934,0.0143596787143845,0.345525610800539,0.0298714115465917
"5052","DDHD2","turquoise",0.566822678467528,-0.0297938139005237,0.992474719705274,0.00090170814766666,60.0847712732573,4.1437809746043
"5053","DDI2","turquoise",0.0730855130947854,-0.0897665091780331,0.785968579546233,-0.0223593838277133,126.338872119436,71.7197126936163
"5054","RSC1A1","turquoise",0.902538428081907,-0.00186617784506105,0.63802353404067,0.00899580212992948,0.933065694613631,0.0114549014157879
"5055","DDIT3","turquoise",0.161380995855173,-0.0920981972358879,0.426992838108438,-0.0853468884173171,95.9675870851948,15.8630339362284
"5056","DDIT4","brown",0.921688359714099,0.00998513939032927,0.494729142045673,0.100398577132237,2.30575625717994,8.30582385151152
"5057","DDIT4L","blue",0.564371840671205,0.04756130454554,0.460789622096999,0.118853052986874,5.08020523041229,1.51549799312275
"5058","DDN","brown",0.66953238204336,0.0259384843796268,0.106391802784985,0.138014037771815,0.293402873242054,0.627493570501993
"5059","DDO","grey",0.047190479149986,-0.10172732730784,0.873890833538904,-0.0121555180814915,0.0019398941998026,0.000276715220657971
"5060","DDOST","brown",0.692433724132619,0.031762506553166,0.321210397038311,-0.110213690950089,1.9507962620512,2.11551935768006
"5061","DDR1","grey",0.421730498776417,-0.0480228248318902,0.234781333673154,-0.0895058121687785,0.00351552046433302,0.00041222311972347
"5062","DDR2","turquoise",0.27974548396076,0.0370681895781616,0.322294172981609,-0.0561366548706867,12.5137946223089,0.176404867353221
"5063","DDRGK1","green",0.226785453642191,-0.100351879901102,0.780567405512475,-0.0337788685243797,3.14515180711543,0.325764809149441
"5064","DDX1","grey",0.957231707097473,0.00473679388015778,0.319591921456936,-0.11713387713175,0.000324280634195427,0.000391584334592295
"5065","DDX10","brown",0.712474315073259,0.0435026087631026,0.759217386617081,-0.046785961664048,7.05554012914713,8.31630792814937
"5066","DDX17","green",0.623163221861335,-0.0186869171131333,0.419220773623335,-0.0499458528819382,0.204632632006024,0.220199621752904
"5067","DDX18","green",0.998112447179253,-0.00014479394559235,0.965768100322257,0.00372292406943088,1.88541787954148,0.878127109690731
"5068","DDX19A","blue",0.947990416106409,0.00523973690133316,0.301681848007612,-0.124806868729788,1.44626026589165,1.77345296602522
"5069","DDX19B","turquoise",0.106122219222213,-0.116032028620781,0.174507646186023,-0.134678939478742,4.5861311447226,0.128618468008518
"5070","DDX21","blue",0.801797599805353,-0.0229706781499458,0.434718191122637,0.103658675921402,1.70844346467714,2.90501638881934
"5071","DDX23","magenta",0.101274581372081,0.122375705379103,0.0784746315854805,0.193814335490534,1.64349261320668,8.17158488118152
"5072","DDX24","blue",0.743825084546812,0.0359870069547118,0.817638640681692,-0.0411008858040736,7.83869610860513,11.2238772812399
"5073","IFI27L1","blue",0.782110289284329,-0.020490257816319,0.959596109762698,0.00566194965734874,1.13000367701885,2.02786542332183
"5074","DDX25","yellow",0.0644000962248991,0.0603361211699427,0.0201080397118562,0.101355135979983,2.97098544611559,1.42769204829175
